ID_Trafo,Tanggal_Uji,H2,CH4,C2H6,C2H4,C2H2,CO,CO2,Ratio_O2_N2,BDV,Acid,Water,IFT,DDF,Resistivity,Colour_ISO2049,Sediment_Sludge,Corrosive_Sulphur,Particles_ISO,Inhibitor_Content,Passivator_Content,Flash_Point,PCB_Content,Status_Pemurnian
Main_Transformer_01,2018-05-10,12.0,8.0,4.0,2.0,0.0,110,1200,0.3235,58.0,0.04,11.0,32.0,0.005,80.0,1.0,No,Non-Corrosive,Good,85.0,110.0,148.0,0.0,Normal
Main_Transformer_01,2019-01-15,13.2,8.5,4.2,2.1,0.0,115,1180,0.3173,57.2,0.04,11.4,31.5,0.006,75.0,1.0,No,Non-Corrosive,Good,82.0,108.0,147.0,0.0,Normal
Main_Transformer_01,2019-09-20,12.8,8.2,4.1,2.0,0.0,122,1250,0.3301,56.5,0.05,11.8,31.0,0.007,70.0,1.5,No,Non-Corrosive,Good,80.0,105.0,146.0,0.0,Normal
Main_Transformer_01,2020-05-18,14.0,8.8,4.4,2.2,0.0,118,1210,0.3188,55.8,0.05,12.2,30.5,0.008,68.0,1.5,No,Non-Corrosive,Good,78.0,102.0,146.0,0.0,Normal
Main_Transformer_01,2021-01-22,13.5,8.4,4.3,2.1,0.0,125,1290,0.3263,55.0,0.05,12.6,30.0,0.009,65.0,1.5,No,Non-Corrosive,Good,75.0,100.0,145.0,0.0,Normal
Main_Transformer_01,2021-09-30,14.5,9.1,4.5,2.3,0.0,120,1230,0.3150,54.2,0.06,13.0,29.5,0.010,62.0,2.0,No,Non-Corrosive,Good,72.0,98.0,145.0,0.0,Normal
Main_Transformer_01,2022-05-25,15.0,9.3,4.6,2.4,0.0,128,1310,0.3262,53.5,0.06,13.5,29.0,0.011,60.0,2.0,No,Non-Corrosive,Good,70.0,95.0,144.0,0.0,Normal
Main_Transformer_01,2023-01-20,14.8,9.0,4.5,2.3,0.0,122,1260,0.3194,52.8,0.06,14.0,28.5,0.012,58.0,2.0,No,Non-Corrosive,Good,68.0,93.0,144.0,0.0,Normal
Main_Transformer_01,2023-09-28,15.5,9.6,4.8,2.5,0.0,132,1340,0.3263,52.0,0.07,14.5,28.0,0.013,55.0,2.5,No,Non-Corrosive,Good,65.0,90.0,143.0,0.0,Normal
Main_Transformer_01,2024-05-22,15.2,9.4,4.7,2.4,0.0,126,1280,0.3185,51.2,0.07,15.0,27.5,0.014,52.0,2.5,No,Non-Corrosive,Good,62.0,88.0,143.0,0.0,Normal
Main_Transformer_01,2025-01-18,16.0,9.9,5.0,2.6,0.0,135,1370,0.3249,50.5,0.07,15.5,27.0,0.015,50.0,2.5,No,Non-Corrosive,Good,60.0,85.0,142.0,0.0,Normal
Main_Transformer_01,2025-09-25,15.8,9.7,4.9,2.5,0.0,130,1310,0.3221,49.8,0.08,16.0,26.5,0.016,48.0,2.5,No,Non-Corrosive,Good,58.0,82.0,142.0,0.0,Normal
Main_Transformer_01,2026-05-20,16.5,10.2,5.1,2.7,0.0,138,1400,0.3262,49.0,0.08,16.5,26.0,0.017,45.0,3.0,No,Non-Corrosive,Good,55.0,80.0,141.0,0.0,Normal
Main_Transformer_02,2018-05-10,15.0,10.0,5.0,3.0,0.0,130,1400,0.3200,56.0,0.05,12.0,30.0,0.008,70.0,1.5,No,Non-Corrosive,Good,80.0,100.0,145.0,0.0,Normal
